query_id,user_id,query_type,target_event_id,target_is_dense_top5,e5_dense_target_rank,top5_raw_ppr_target_rank,top5_ppr_rrf_target_rank,all_event_raw_ppr_target_rank,all_event_ppr_rrf_target_rank,e5_dense_reciprocal_rank,top5_raw_ppr_reciprocal_rank,top5_ppr_rrf_reciprocal_rank,all_event_raw_ppr_reciprocal_rank,all_event_ppr_rrf_reciprocal_rank,e5_dense_top1_event_id,top5_raw_ppr_top1_event_id,top5_ppr_rrf_top1_event_id,all_event_raw_ppr_top1_event_id,all_event_ppr_rrf_top1_event_id,all_rrf_rank_gain_vs_dense,all_rrf_rank_gain_vs_top5_rrf,all_raw_rank_gain_vs_top5_raw
tokyo_100159_relational_after,100159,relational_after,2018_1765800__event_002,True,3,5,4,1,1,0.3333333333,0.2000000000,0.2500000000,1.0000000000,1.0000000000,2018_1765837__event_001,2018_1765805__event_001,2018_1765805__event_001,2018_1765800__event_002,2018_1765800__event_002,2,3,4
tokyo_100159_semantic,100159,semantic,2018_1765805__event_002,True,1,3,1,17,10,1.0000000000,0.3333333333,1.0000000000,0.0588235294,0.1000000000,2018_1765805__event_002,2018_1765827__event_002,2018_1765805__event_002,2018_1765816__event_002,2018_1765823__event_002,-9,-9,-14
tokyo_100159_temporal_spatial,100159,temporal_spatial,2018_1765792__event_002,True,1,1,1,1,1,1.0000000000,1.0000000000,1.0000000000,1.0000000000,1.0000000000,2018_1765792__event_002,2018_1765792__event_002,2018_1765792__event_002,2018_1765792__event_002,2018_1765792__event_002,0,0,0
tokyo_100312_relational_after,100312,relational_after,2018_1767876__event_002,False,23,8,9,27,26,0.0434782609,0.1250000000,0.1111111111,0.0370370370,0.0384615385,2018_1767876__event_001,2018_1767876__event_001,2018_1767876__event_001,2018_1767907__event_002,2018_1767876__event_001,-3,-17,-19
tokyo_100312_semantic,100312,semantic,2018_1767925__event_002,True,1,2,1,17,6,1.0000000000,0.5000000000,1.0000000000,0.0588235294,0.1666666667,2018_1767925__event_002,2018_1767958__event_002,2018_1767925__event_002,2018_1767953__event_002,2018_1767947__event_001,-5,-5,-15
tokyo_100312_temporal_spatial,100312,temporal_spatial,2018_1767957__event_002,True,1,1,1,3,1,1.0000000000,1.0000000000,1.0000000000,0.3333333333,1.0000000000,2018_1767957__event_002,2018_1767957__event_002,2018_1767957__event_002,2018_1767953__event_002,2018_1767957__event_002,0,0,-2
tokyo_100677_relational_after,100677,relational_after,2018_1773210__event_002,True,2,1,1,2,2,0.5000000000,1.0000000000,1.0000000000,0.5000000000,0.5000000000,2018_1773206__event_002,2018_1773210__event_002,2018_1773210__event_002,2018_1773205__event_002,2018_1773206__event_002,0,-1,-1
tokyo_100677_semantic,100677,semantic,2018_1773217__event_002,True,1,3,2,6,3,1.0000000000,0.3333333333,0.5000000000,0.1666666667,0.3333333333,2018_1773217__event_002,2018_1773220__event_002,2018_1773220__event_002,2018_1773220__event_001,2018_1773220__event_001,-2,-1,-3
tokyo_100677_temporal_spatial,100677,temporal_spatial,2018_1773220__event_002,True,2,1,1,2,2,0.5000000000,1.0000000000,1.0000000000,0.5000000000,0.5000000000,2018_1773220__event_001,2018_1773220__event_002,2018_1773220__event_002,2018_1773220__event_001,2018_1773220__event_001,0,-1,-1
tokyo_101467_relational_after,101467,relational_after,2018_1784994__event_004,True,3,3,3,3,3,0.3333333333,0.3333333333,0.3333333333,0.3333333333,0.3333333333,2018_1784994__event_003,2018_1784994__event_002,2018_1784994__event_002,2018_1784994__event_002,2018_1784994__event_002,0,0,0
