user_id,event_node_count,poi_node_count,category_node_count,trail_node_count,projected_node_count,projected_edge_count,connected_component_count
100159,44,23,7,22,96,133,1
100312,70,32,20,34,156,208,2
100677,20,15,10,10,55,65,3
101467,42,32,21,18,113,140,4
103621,26,13,10,13,62,78,1
106628,88,56,35,39,218,281,2
109617,69,38,28,30,165,215,2
109621,92,61,33,27,213,310,2
113499,37,16,13,17,83,110,1
113897,39,19,13,18,89,118,1
115855,22,14,11,10,57,70,3
1172,73,29,21,30,153,218,2
119597,37,19,10,15,81,115,1
121554,31,15,13,13,72,95,2
126183,71,27,19,28,145,212,3
127201,38,26,17,16,97,124,1
129047,21,6,3,10,40,59,1
130084,79,29,23,34,165,232,3
130568,34,23,18,10,85,115,1
130777,34,22,15,14,85,110,3
130872,34,19,12,14,79,107,1
131525,36,17,14,16,83,109,1
132723,48,26,19,22,115,148,1
134307,28,24,19,13,84,95,4
135393,46,28,18,19,111,147,1
138301,39,20,12,16,87,121,2
139656,55,4,4,27,90,142,1
140734,24,19,14,11,68,80,3
140775,23,19,11,10,63,78,2
149225,33,14,10,15,72,98,1
152722,33,17,7,13,70,103,1
156873,116,57,34,47,254,358,3
167728,59,41,30,22,152,196,5
169053,25,10,8,11,54,74,1
171659,26,19,8,11,64,86,2
178798,26,21,16,12,75,87,5
19379,80,34,21,38,173,236,2
210254,29,25,17,13,84,99,5
223807,26,20,11,11,68,87,2
2309,34,13,10,14,71,101,1
23925,43,15,10,19,87,125,1
24620,70,5,4,23,102,192,1
24664,69,61,34,26,190,242,5
24765,51,48,28,22,149,179,6
254908,33,23,17,12,85,110,3
259163,28,17,11,11,67,90,2
263152,27,19,13,12,71,88,2
264627,59,39,27,25,150,191,2
267704,48,28,18,10,104,162,1
26786,256,71,36,66,429,773,1
277915,40,20,13,17,90,123,1
280210,63,39,25,21,148,207,1
281448,35,16,12,14,77,107,1
283450,74,45,22,29,170,238,2
286142,21,14,9,10,54,67,2
286382,23,16,13,11,63,74,2
28664,56,34,21,20,131,182,3
28697,37,13,10,15,75,109,1
290806,36,28,18,14,96,122,3
29501,36,22,17,16,91,114,2
29757,41,7,5,19,72,111,1
29764,28,10,10,11,59,83,1
31204,27,14,12,13,66,82,2
32545,106,54,28,43,231,329,1
325605,82,38,22,33,175,251,2
328941,23,13,10,11,57,71,1
339444,31,14,10,12,67,95,1
342180,49,26,16,20,111,153,2
34258,42,11,5,12,70,125,1
347501,20,6,3,10,39,56,1
348059,63,28,11,19,121,198,1
348682,22,14,10,10,56,70,2
350248,54,35,25,22,136,175,2
356419,33,13,7,14,67,98,1
35718,26,14,12,11,63,81,2
362630,24,23,19,11,77,84,6
36487,54,44,22,18,138,188,1
365381,24,15,15,11,65,76,3
41088,77,16,11,33,137,214,1
42282,24,17,15,11,67,78,4
44616,39,30,23,10,102,137,1
45189,25,20,14,10,69,85,2
45205,140,37,21,54,252,403,1
50046,55,40,23,25,143,180,2
51031,49,29,21,21,120,155,2
51516,33,21,13,13,80,107,1
52894,43,35,26,19,123,145,8
53205,40,25,16,16,97,129,1
53405,26,25,18,10,79,93,5
55985,30,18,12,13,73,95,1
59554,23,12,5,11,51,70,1
60393,170,73,37,51,331,532,1
70564,106,46,32,41,225,323,2
70703,47,36,25,18,126,159,4
72210,35,26,15,14,90,117,2
72444,29,18,9,12,68,93,1
74188,39,32,23,13,107,136,4
74982,24,23,17,10,74,85,4
78286,76,22,17,32,147,218,1
79139,32,15,13,12,72,99,1
79719,57,33,20,23,133,181,2
80051,34,29,20,15,98,116,2
80415,25,14,12,11,62,78,1
80480,38,18,12,16,84,116,1
86988,47,16,10,20,93,137,1
87391,20,7,5,10,42,57,1
88625,32,20,12,13,77,103,3
88793,50,32,20,22,124,160,4
