query_id,user_id,query_type,candidate_count,seed_count,seed_event_ids,positive_seed_count,personalization_sum,ppr_event_score_sum,ppr_all_node_score_sum,nonzero_ppr_event_count,projected_node_count,projected_edge_count,connected_component_count,seeded_component_count,unseeded_component_count
tokyo_100159_relational_after,100159,relational_after,44,5,"[""2018_1765837__event_001"",""2018_1765805__event_001"",""2018_1765800__event_002"",""2018_1765823__event_001"",""2018_1765825__event_002""]",5,1,0.729278043320919,1,44,96,133,1,1,0
tokyo_100159_semantic,100159,semantic,44,5,"[""2018_1765805__event_002"",""2018_1765837__event_002"",""2018_1765827__event_002"",""2018_1765827__event_001"",""2018_1765823__event_002""]",5,1,0.725359736498956,1,44,96,133,1,1,0
tokyo_100159_temporal_spatial,100159,temporal_spatial,44,5,"[""2018_1765792__event_002"",""2018_1765827__event_001"",""2018_1765792__event_001"",""2018_1765816__event_001"",""2018_1765827__event_002""]",5,1,0.722877011374662,1,44,96,133,1,1,0
tokyo_100312_relational_after,100312,relational_after,70,5,"[""2018_1767876__event_001"",""2018_1767921__event_001"",""2018_1767895__event_001"",""2018_1767913__event_001"",""2018_1767905__event_001""]",5,1,0.742189251740324,1,70,156,208,2,1,1
tokyo_100312_semantic,100312,semantic,70,5,"[""2018_1767925__event_002"",""2018_1767958__event_002"",""2018_1767887__event_002"",""2018_1767913__event_002"",""2018_1767941__event_002""]",5,1,0.727103409318499,1,70,156,208,2,1,1
tokyo_100312_temporal_spatial,100312,temporal_spatial,70,5,"[""2018_1767957__event_002"",""2018_1767964__event_002"",""2018_1767958__event_002"",""2018_1767941__event_002"",""2018_1767935__event_002""]",5,1,0.722008447681243,1,70,156,208,2,1,1
tokyo_100677_relational_after,100677,relational_after,20,5,"[""2018_1773206__event_002"",""2018_1773210__event_002"",""2018_1773210__event_001"",""2018_1773205__event_001"",""2018_1773227__event_002""]",5,1,0.71719839371937,1,20,55,65,3,1,2
tokyo_100677_semantic,100677,semantic,20,5,"[""2018_1773217__event_002"",""2018_1773220__event_002"",""2018_1773220__event_001"",""2018_1773210__event_001"",""2018_1773208__event_002""]",5,1,0.721108029885699,1,20,55,65,3,2,1
tokyo_100677_temporal_spatial,100677,temporal_spatial,20,5,"[""2018_1773220__event_001"",""2018_1773220__event_002"",""2018_1773204__event_002"",""2018_1773204__event_001"",""2018_1773233__event_002""]",5,1,0.722798722015457,1,20,55,65,3,1,2
tokyo_101467_relational_after,101467,relational_after,42,5,"[""2018_1784994__event_003"",""2018_1784994__event_002"",""2018_1784994__event_004"",""2018_1784994__event_001"",""2018_1784990__event_001""]",5,1,0.746850038457356,1,42,113,140,4,1,3
tokyo_101467_semantic,101467,semantic,42,5,"[""2018_1784986__event_002"",""2018_1784988__event_002"",""2018_1784986__event_001"",""2018_1784993__event_002"",""2018_1785000__event_003""]",5,1,0.71885113712945,1,42,113,140,4,1,3
tokyo_101467_temporal_spatial,101467,temporal_spatial,42,5,"[""2018_1785009__event_001"",""2018_1785004__event_001"",""2018_1785003__event_002"",""2018_1784985__event_002"",""2018_1784989__event_002""]",5,1,0.730251870949981,1,42,113,140,4,1,3
