query_id,user_id,component_id,component_event_count,component_personalization_mass,component_ppr_mass
tokyo_100159_relational_after,100159,1,44,1,1
tokyo_100159_semantic,100159,1,44,1,1
tokyo_100159_temporal_spatial,100159,1,44,1,1
tokyo_100312_relational_after,100312,1,68,0.972865255568947,0.97286525553591
tokyo_100312_relational_after,100312,2,2,0.0271347444310527,0.0271347444640905
tokyo_100312_semantic,100312,1,68,0.973766734610387,0.97376673457567
tokyo_100312_semantic,100312,2,2,0.0262332653896134,0.0262332654243304
tokyo_100312_temporal_spatial,100312,1,68,0.974136981360511,0.974136981325105
tokyo_100312_temporal_spatial,100312,2,2,0.0258630186394885,0.0258630186748951
tokyo_100677_relational_after,100677,1,16,0.81016940950494,0.810169409489872
tokyo_100677_relational_after,100677,2,2,0.0959444962565687,0.0959444962638628
tokyo_100677_relational_after,100677,3,2,0.0938860942384915,0.0938860942462649
tokyo_100677_semantic,100677,1,16,0.804930900378736,0.804930900364888
tokyo_100677_semantic,100677,2,2,0.102034682472676,0.102034682478553
tokyo_100677_semantic,100677,3,2,0.093034417148588,0.0930344171565597
tokyo_100677_temporal_spatial,100677,1,16,0.807677982164239,0.807677982149752
tokyo_100677_temporal_spatial,100677,2,2,0.0990198020269311,0.0990198020335092
tokyo_100677_temporal_spatial,100677,3,2,0.0933022158088299,0.0933022158167393
tokyo_101467_relational_after,101467,1,36,0.8584651807243,0.858465180691279
tokyo_101467_relational_after,101467,2,2,0.0480628250581995,0.0480628250711301
tokyo_101467_relational_after,101467,3,2,0.0464643401777699,0.0464643401921892
tokyo_101467_relational_after,101467,4,2,0.0470076540397305,0.047007654045402
tokyo_101467_semantic,101467,1,36,0.86003495068279,0.860034950648307
tokyo_101467_semantic,101467,2,2,0.0474541024954047,0.0474541025089022
tokyo_101467_semantic,101467,3,2,0.0478221877639948,0.0478221877771494
tokyo_101467_semantic,101467,4,2,0.04468875905781,0.0446887590656411
tokyo_101467_temporal_spatial,101467,1,36,0.85936097143755,0.859360971403695
tokyo_101467_temporal_spatial,101467,2,2,0.0477693897647387,0.0477693897779425
tokyo_101467_temporal_spatial,101467,3,2,0.0475055011539491,0.0475055011673987
tokyo_101467_temporal_spatial,101467,4,2,0.0453641376437619,0.045364137650964
tokyo_103621_relational_after,103621,1,26,1,1
tokyo_103621_semantic,103621,1,26,1,1
tokyo_103621_temporal_spatial,103621,1,26,1,1
tokyo_106628_relational_after,106628,1,86,0.977852959788328,0.977852959769771
tokyo_106628_relational_after,106628,2,2,0.0221470402116716,0.0221470402302292
tokyo_106628_semantic,106628,1,86,0.977372470574087,0.977372470556424
tokyo_106628_semantic,106628,2,2,0.0226275294259133,0.0226275294435759
tokyo_106628_temporal_spatial,106628,1,86,0.977004590288038,0.977004590271061
tokyo_106628_temporal_spatial,106628,2,2,0.0229954097119618,0.0229954097289392
tokyo_109617_relational_after,109617,1,67,0.97149024908958,0.971490249063663
tokyo_109617_relational_after,109617,2,2,0.0285097509104195,0.0285097509363373
tokyo_109617_semantic,109617,1,67,0.970653248736427,0.970653248712068
tokyo_109617_semantic,109617,2,2,0.029346751263573,0.0293467512879317
tokyo_109617_temporal_spatial,109617,1,67,0.971518785402369,0.971518785376398
tokyo_109617_temporal_spatial,109617,2,2,0.028481214597631,0.0284812146236019
tokyo_109621_relational_after,109621,1,90,0.979250083846844,0.97925008382428
tokyo_109621_relational_after,109621,2,2,0.0207499161531561,0.02074991617572
tokyo_109621_semantic,109621,1,90,0.978331023636701,0.978331023615848
tokyo_109621_semantic,109621,2,2,0.0216689763632994,0.0216689763841515
tokyo_109621_temporal_spatial,109621,1,90,0.977579566179872,0.97757956616042
tokyo_109621_temporal_spatial,109621,2,2,0.0224204338201279,0.0224204338395803
tokyo_113499_relational_after,113499,1,37,1,1
tokyo_113499_semantic,113499,1,37,1,1
tokyo_113499_temporal_spatial,113499,1,37,1,1
tokyo_113897_relational_after,113897,1,39,1,1
tokyo_113897_semantic,113897,1,39,1,1
