query_id,user_id,query_type,candidate_count,positive_personalization_event_count,zero_personalization_event_count,personalization_event_weight_sum,full_graph_ppr_score_sum,event_only_ppr_score_sum,component_count
tokyo_100159_relational_after,100159,relational_after,44,44,0,1,1,0.72599111472337,1
tokyo_100159_semantic,100159,semantic,44,44,0,1,1,0.72593224833469,1
tokyo_100159_temporal_spatial,100159,temporal_spatial,44,44,0,1,1,0.725923416885328,1
tokyo_100312_relational_after,100312,relational_after,70,70,0,1,1,0.731843454637457,2
tokyo_100312_semantic,100312,semantic,70,70,0,1,1,0.731712628237503,2
tokyo_100312_temporal_spatial,100312,temporal_spatial,70,70,0,1,1,0.731679428656614,2
tokyo_100677_relational_after,100677,relational_after,20,20,0,1,1,0.719648634134875,3
tokyo_100677_semantic,100677,semantic,20,20,0,1,1,0.719687634042305,3
tokyo_100677_temporal_spatial,100677,temporal_spatial,20,20,0,1,1,0.719744854263078,3
tokyo_101467_relational_after,101467,relational_after,42,42,0,1,1,0.726828681515058,4
tokyo_101467_semantic,101467,semantic,42,42,0,1,1,0.726538609856514,4
tokyo_101467_temporal_spatial,101467,temporal_spatial,42,42,0,1,1,0.726583682690839,4
tokyo_103621_relational_after,103621,relational_after,26,26,0,1,1,0.727748410071113,1
tokyo_103621_semantic,103621,semantic,26,26,0,1,1,0.727729453108657,1
tokyo_103621_temporal_spatial,103621,temporal_spatial,26,26,0,1,1,0.727650278183371,1
tokyo_106628_relational_after,106628,relational_after,88,88,0,1,1,0.729742467491494,2
tokyo_106628_semantic,106628,semantic,88,88,0,1,1,0.729621231789804,2
tokyo_106628_temporal_spatial,106628,temporal_spatial,88,88,0,1,1,0.729653691186265,2
tokyo_109617_relational_after,109617,relational_after,69,69,0,1,1,0.733070711853436,2
tokyo_109617_semantic,109617,semantic,69,69,0,1,1,0.733124082271182,2
tokyo_109617_temporal_spatial,109617,temporal_spatial,69,69,0,1,1,0.733099036320863,2
tokyo_109621_relational_after,109621,relational_after,92,92,0,1,1,0.744402994645126,2
tokyo_109621_semantic,109621,semantic,92,92,0,1,1,0.744549832010286,2
tokyo_109621_temporal_spatial,109621,temporal_spatial,92,92,0,1,1,0.744505666826551,2
tokyo_113499_relational_after,113499,relational_after,37,37,0,1,1,0.735946473352384,1
tokyo_113499_semantic,113499,semantic,37,37,0,1,1,0.73577535138843,1
tokyo_113499_temporal_spatial,113499,temporal_spatial,37,37,0,1,1,0.735885900281139,1
tokyo_113897_relational_after,113897,relational_after,39,39,0,1,1,0.733343463420739,1
tokyo_113897_semantic,113897,semantic,39,39,0,1,1,0.733186807718284,1
tokyo_113897_temporal_spatial,113897,temporal_spatial,39,39,0,1,1,0.733346626852426,1
tokyo_115855_relational_after,115855,relational_after,22,22,0,1,1,0.728537038550764,3
tokyo_115855_semantic,115855,semantic,22,22,0,1,1,0.72807172495496,3
tokyo_115855_temporal_spatial,115855,temporal_spatial,22,22,0,1,1,0.72769300948601,3
tokyo_1172_relational_after,1172,relational_after,73,73,0,1,1,0.741448983619153,2
tokyo_1172_semantic,1172,semantic,73,73,0,1,1,0.74138357803812,2
tokyo_1172_temporal_spatial,1172,temporal_spatial,73,73,0,1,1,0.741473668741052,2
tokyo_119597_relational_after,119597,relational_after,37,37,0,1,1,0.738645393419517,1
tokyo_119597_semantic,119597,semantic,37,37,0,1,1,0.738373885207552,1
tokyo_119597_temporal_spatial,119597,temporal_spatial,37,37,0,1,1,0.738475083401191,1
tokyo_121554_relational_after,121554,relational_after,31,31,0,1,1,0.737828214757563,2
tokyo_121554_semantic,121554,semantic,31,31,0,1,1,0.737806143927576,2
tokyo_121554_temporal_spatial,121554,temporal_spatial,31,31,0,1,1,0.737896661370927,2
tokyo_126183_relational_after,126183,relational_after,71,71,0,1,1,0.744914124393048,3
tokyo_126183_semantic,126183,semantic,71,71,0,1,1,0.744820587191157,3
tokyo_126183_temporal_spatial,126183,temporal_spatial,71,71,0,1,1,0.744832672835263,3
tokyo_127201_relational_after,127201,relational_after,38,38,0,1,1,0.730623234785365,1
tokyo_127201_semantic,127201,semantic,38,38,0,1,1,0.730280080705201,1
tokyo_127201_temporal_spatial,127201,temporal_spatial,38,38,0,1,1,0.730425120248422,1
tokyo_129047_relational_after,129047,relational_after,21,21,0,1,1,0.738199965246353,1
tokyo_129047_semantic,129047,semantic,21,21,0,1,1,0.738707255408388,1
tokyo_129047_temporal_spatial,129047,temporal_spatial,21,21,0,1,1,0.7387115899017,1
tokyo_130084_relational_after,130084,relational_after,79,79,0,1,1,0.741597181145152,3
tokyo_130084_semantic,130084,semantic,79,79,0,1,1,0.741519163878706,3
tokyo_130084_temporal_spatial,130084,temporal_spatial,79,79,0,1,1,0.741458501702493,3
tokyo_130568_relational_after,130568,relational_after,34,34,0,1,1,0.744384289986606,1
tokyo_130568_semantic,130568,semantic,34,34,0,1,1,0.744452907365866,1
tokyo_130568_temporal_spatial,130568,temporal_spatial,34,34,0,1,1,0.744630062281096,1
tokyo_130777_relational_after,130777,relational_after,34,34,0,1,1,0.732221328916249,3
tokyo_130777_semantic,130777,semantic,34,34,0,1,1,0.731969905892527,3
tokyo_130777_temporal_spatial,130777,temporal_spatial,34,34,0,1,1,0.732037489911632,3
tokyo_130872_relational_after,130872,relational_after,34,34,0,1,1,0.736849365325027,1
tokyo_130872_semantic,130872,semantic,34,34,0,1,1,0.736875873715831,1
tokyo_130872_temporal_spatial,130872,temporal_spatial,34,34,0,1,1,0.736787321581442,1
tokyo_131525_relational_after,131525,relational_after,36,36,0,1,1,0.734902434157571,1
tokyo_131525_semantic,131525,semantic,36,36,0,1,1,0.734895831242998,1
tokyo_131525_temporal_spatial,131525,temporal_spatial,36,36,0,1,1,0.734893455831209,1
tokyo_132723_relational_after,132723,relational_after,48,48,0,1,1,0.730769787805532,1
tokyo_132723_semantic,132723,semantic,48,48,0,1,1,0.730698425489228,1
tokyo_132723_temporal_spatial,132723,temporal_spatial,48,48,0,1,1,0.730731373383574,1
tokyo_134307_relational_after,134307,relational_after,28,28,0,1,1,0.720047791938158,4
tokyo_134307_semantic,134307,semantic,28,28,0,1,1,0.719825194903784,4
tokyo_134307_temporal_spatial,134307,temporal_spatial,28,28,0,1,1,0.719794748910337,4
tokyo_135393_relational_after,135393,relational_after,46,46,0,1,1,0.734347690963362,1
tokyo_135393_semantic,135393,semantic,46,46,0,1,1,0.734195982851645,1
tokyo_135393_temporal_spatial,135393,temporal_spatial,46,46,0,1,1,0.734241818099445,1
tokyo_138301_relational_after,138301,relational_after,39,39,0,1,1,0.738276869069266,2
tokyo_138301_semantic,138301,semantic,39,39,0,1,1,0.738010075686671,2
tokyo_138301_temporal_spatial,138301,temporal_spatial,39,39,0,1,1,0.738053094109983,2
tokyo_139656_relational_after,139656,relational_after,55,55,0,1,1,0.747142065245563,1
