query_id,user_id,benchmark_tier,query_type,cue_previous_place,cue_category,anchor_event_count,anchor_event_ids,next_successor_count,next_successor_event_ids,category_matched_candidate_count,category_matched_event_ids,uniquely_selected_event_id,candidate_status,is_high_memory_load
tokyo_100159_relational_after,100159,core,relational_after,松屋,Ramen Restaurant,1,"[""2018_1765800__event_001""]",1,"[""2018_1765800__event_002""]",1,"[""2018_1765800__event_002""]",2018_1765800__event_002,unique_candidate,True
tokyo_100312_relational_after,100312,core,relational_after,イオンモールむさし村山,Clothing Store,24,"[""2018_1767863__event_001"",""2018_1767867__event_001"",""2018_1767876__event_001"",""2018_1767879__event_001"",""2018_1767887__event_001"",""2018_1767890__event_001"",""2018_1767893__event_001"",""2018_1767895__event_001"",""2018_1767902__event_001"",""2018_1767905__event_001"",""2018_1767913__event_001"",""2018_1767914__event_001"",""2018_1767921__event_001"",""2018_1767925__event_001"",""2018_1767926__event_001"",""2018_1767934__event_001"",""2018_1767940__event_001"",""2018_1767941__event_001"",""2018_1767947__event_001"",""2018_1767950__event_001"",""2018_1767957__event_001"",""2018_1767958__event_001"",""2018_1767963__event_001"",""2018_1767964__event_001""]",24,"[""2018_1767863__event_002"",""2018_1767867__event_002"",""2018_1767876__event_002"",""2018_1767879__event_002"",""2018_1767887__event_002"",""2018_1767890__event_002"",""2018_1767893__event_002"",""2018_1767895__event_002"",""2018_1767902__event_002"",""2018_1767905__event_002"",""2018_1767913__event_002"",""2018_1767914__event_002"",""2018_1767921__event_002"",""2018_1767925__event_002"",""2018_1767926__event_002"",""2018_1767934__event_002"",""2018_1767940__event_002"",""2018_1767941__event_002"",""2018_1767947__event_002"",""2018_1767950__event_002"",""2018_1767957__event_002"",""2018_1767958__event_002"",""2018_1767963__event_002"",""2018_1767964__event_002""]",1,"[""2018_1767876__event_002""]",2018_1767876__event_002,unique_candidate,True
tokyo_100677_relational_after,100677,core,relational_after,金太郎 西八王子北口店,Sake Bar,1,"[""2018_1773210__event_001""]",1,"[""2018_1773210__event_002""]",1,"[""2018_1773210__event_002""]",2018_1773210__event_002,unique_candidate,False
tokyo_101467_relational_after,101467,core,relational_after,片倉駅 (Katakura Sta.),Convenience Store,1,"[""2018_1784994__event_003""]",1,"[""2018_1784994__event_004""]",1,"[""2018_1784994__event_004""]",2018_1784994__event_004,unique_candidate,False
tokyo_103621_relational_after,103621,core,relational_after,中華そば 青葉,Bar,3,"[""2018_1816118__event_001"",""2018_1816122__event_001"",""2018_1816137__event_001""]",3,"[""2018_1816118__event_002"",""2018_1816122__event_002"",""2018_1816137__event_002""]",1,"[""2018_1816122__event_002""]",2018_1816122__event_002,unique_candidate,False
tokyo_106628_relational_after,106628,core,relational_after,ファミリーマート 八王子高尾町店,Recycling Facility,3,"[""2018_1860378__event_003"",""2018_1860406__event_002"",""2018_1860419__event_002""]",1,"[""2018_1860406__event_003""]",1,"[""2018_1860406__event_003""]",2018_1860406__event_003,unique_candidate,True
tokyo_109617_relational_after,109617,core,relational_after,ガレージオフ 相模原店,Supermarket,3,"[""2018_1909144__event_001"",""2018_1909184__event_001"",""2018_1909199__event_001""]",3,"[""2018_1909144__event_002"",""2018_1909184__event_002"",""2018_1909199__event_002""]",1,"[""2018_1909144__event_002""]",2018_1909144__event_002,unique_candidate,True
tokyo_109621_relational_after,109621,core,relational_after,ファミリーマート 八王子楢原町店,Convenience Store,1,"[""2018_1909384__event_001""]",1,"[""2018_1909384__event_002""]",1,"[""2018_1909384__event_002""]",2018_1909384__event_002,unique_candidate,True
tokyo_113499_relational_after,113499,core,relational_after,ゲームプラザセントラル 八王子店,Park,2,"[""2018_1959238__event_001"",""2018_1959244__event_001""]",2,"[""2018_1959238__event_002"",""2018_1959244__event_002""]",1,"[""2018_1959244__event_002""]",2018_1959244__event_002,unique_candidate,False
tokyo_113897_relational_after,113897,core,relational_after,松のや・マイカリー食堂,Sake Bar,1,"[""2018_1963899__event_001""]",1,"[""2018_1963899__event_002""]",1,"[""2018_1963899__event_002""]",2018_1963899__event_002,unique_candidate,False
tokyo_115855_relational_after,115855,core,relational_after,道の駅 八王子滝山,Chinese Restaurant,4,"[""2018_1984790__event_003"",""2018_1984791__event_001"",""2018_1984806__event_001"",""2018_1984807__event_001""]",4,"[""2018_1984790__event_004"",""2018_1984791__event_002"",""2018_1984806__event_002"",""2018_1984807__event_002""]",1,"[""2018_1984790__event_004""]",2018_1984790__event_004,unique_candidate,False
tokyo_1172_relational_after,1172,core,relational_after,カラオケファンタジー 橋本北口店,Train Station,2,"[""2018_23917__event_002"",""2018_23942__event_002""]",1,"[""2018_23942__event_003""]",1,"[""2018_23942__event_003""]",2018_23942__event_003,unique_candidate,True
tokyo_119597_relational_after,119597,core,relational_after,箱根ヶ崎駅 (Hakonegasaki Sta.),Train Station,1,"[""2018_2023466__event_002""]",1,"[""2018_2023466__event_003""]",1,"[""2018_2023466__event_003""]",2018_2023466__event_003,unique_candidate,False
tokyo_121554_relational_after,121554,core,relational_after,髪工房 西口店,Japanese Restaurant,2,"[""2018_2047595__event_001"",""2018_2047610__event_001""]",2,"[""2018_2047595__event_002"",""2018_2047610__event_002""]",1,"[""2018_2047595__event_002""]",2018_2047595__event_002,unique_candidate,False
tokyo_126183_relational_after,126183,core,relational_after,家系ラーメン まるに家,Bar,2,"[""2018_2118382__event_003"",""2018_2118390__event_002""]",1,"[""2018_2118390__event_003""]",1,"[""2018_2118390__event_003""]",2018_2118390__event_003,unique_candidate,True
tokyo_127201_relational_after,127201,core,relational_after,スーパースポーツゼビオ,Italian Restaurant,2,"[""2018_2134912__event_002"",""2018_2134938__event_005""]",2,"[""2018_2134912__event_003"",""2018_2134938__event_006""]",1,"[""2018_2134912__event_003""]",2018_2134912__event_003,unique_candidate,False
tokyo_129047_relational_after,129047,core,relational_after,拝島駅 (Haijima Sta.),Train Station,1,"[""2018_2163684__event_001""]",1,"[""2018_2163684__event_002""]",1,"[""2018_2163684__event_002""]",2018_2163684__event_002,unique_candidate,False
tokyo_130084_relational_after,130084,core,relational_after,New Flame International Shot Bar,Bar,2,"[""2018_2179326__event_002"",""2018_2179339__event_001""]",1,"[""2018_2179339__event_002""]",1,"[""2018_2179339__event_002""]",2018_2179339__event_002,unique_candidate,True
tokyo_130568_relational_after,130568,core,relational_after,ENEOS フレンドリーセルフ88SS,Convenience Store,1,"[""2018_2187169__event_001""]",1,"[""2018_2187169__event_002""]",1,"[""2018_2187169__event_002""]",2018_2187169__event_002,unique_candidate,False
tokyo_130777_relational_after,130777,core,relational_after,相模原駅 (Sagamihara Sta.)(JH27),Ice Cream Shop,3,"[""2018_2190688__event_001"",""2018_2190718__event_002"",""2018_2190768__event_002""]",2,"[""2018_2190688__event_002"",""2018_2190768__event_003""]",1,"[""2018_2190768__event_003""]",2018_2190768__event_003,unique_candidate,False
tokyo_130872_relational_after,130872,core,relational_after,鳥居原ふれあいの館,Intersection,14,"[""2018_2192442__event_002"",""2018_2192445__event_001"",""2018_2192448__event_002"",""2018_2192451__event_002"",""2018_2192457__event_002"",""2018_2192458__event_002"",""2018_2192461__event_002"",""2018_2192462__event_002"",""2018_2192464__event_003"",""2018_2192468__event_002"",""2018_2192469__event_003"",""2018_2192471__event_002"",""2018_2192476__event_002"",""2018_2192477__event_002""]",5,"[""2018_2192442__event_003"",""2018_2192445__event_002"",""2018_2192451__event_003"",""2018_2192457__event_003"",""2018_2192464__event_004""]",1,"[""2018_2192457__event_003""]",2018_2192457__event_003,unique_candidate,False
tokyo_131525_relational_after,131525,core,relational_after,羽村駅 (Hamura Sta.),Video Game Store,2,"[""2018_2202061__event_001"",""2018_2202067__event_001""]",2,"[""2018_2202061__event_002"",""2018_2202067__event_002""]",1,"[""2018_2202067__event_002""]",2018_2202067__event_002,unique_candidate,False
tokyo_132723_relational_after,132723,core,relational_after,一本堂 相模原橋本店,Arcade,5,"[""2018_2219866__event_001"",""2018_2219871__event_001"",""2018_2219894__event_002"",""2018_2219917__event_002"",""2018_2219923__event_002""]",3,"[""2018_2219866__event_002"",""2018_2219871__event_002"",""2018_2219917__event_003""]",1,"[""2018_2219866__event_002""]",2018_2219866__event_002,unique_candidate,True
tokyo_134307_relational_after,134307,core,relational_after,ドン・キホーテ 多摩瑞穂店,Supermarket,2,"[""2018_2242033__event_003"",""2018_2242042__event_001""]",1,"[""2018_2242042__event_002""]",1,"[""2018_2242042__event_002""]",2018_2242042__event_002,unique_candidate,False
tokyo_135393_relational_after,135393,core,relational_after,八王子駅 (Hachiōji Sta.),Japanese Curry Restaurant,9,"[""2018_2257260__event_001"",""2018_2257262__event_001"",""2018_2257265__event_001"",""2018_2257268__event_001"",""2018_2257272__event_001"",""2018_2257274__event_001"",""2018_2257276__event_001"",""2018_2257282__event_001"",""2018_2257318__event_001""]",9,"[""2018_2257260__event_002"",""2018_2257262__event_002"",""2018_2257265__event_002"",""2018_2257268__event_002"",""2018_2257272__event_002"",""2018_2257274__event_002"",""2018_2257276__event_002"",""2018_2257282__event_002"",""2018_2257318__event_002""]",1,"[""2018_2257260__event_002""]",2018_2257260__event_002,unique_candidate,False
tokyo_138301_relational_after,138301,core,relational_after,カインズ 城山店,Fast Food Restaurant,5,"[""2018_2294065__event_001"",""2018_2294067__event_001"",""2018_2294100__event_001"",""2018_2294104__event_002"",""2018_2294132__event_001""]",5,"[""2018_2294065__event_002"",""2018_2294067__event_002"",""2018_2294100__event_002"",""2018_2294104__event_003"",""2018_2294132__event_002""]",1,"[""2018_2294104__event_003""]",2018_2294104__event_003,unique_candidate,False
tokyo_139656_relational_after,139656,core,relational_after,ジョイフル,Rest Area,1,"[""2018_2308851__event_001""]",1,"[""2018_2308851__event_002""]",1,"[""2018_2308851__event_002""]",2018_2308851__event_002,unique_candidate,True
tokyo_140734_relational_after,140734,core,relational_after,ホテル・ザ・ウエスト,Discount Store,1,"[""2018_2320244__event_001""]",1,"[""2018_2320244__event_002""]",1,"[""2018_2320244__event_002""]",2018_2320244__event_002,unique_candidate,False
tokyo_140775_relational_after,140775,core,relational_after,八王子駅 (Hachiōji Sta.),Ramen Restaurant,3,"[""2018_2320646__event_004"",""2018_2320657__event_001"",""2018_2320660__event_001""]",2,"[""2018_2320657__event_002"",""2018_2320660__event_002""]",1,"[""2018_2320657__event_002""]",2018_2320657__event_002,unique_candidate,False
tokyo_149225_relational_after,149225,core,relational_after,東京工科大学行き　八王子駅バスターミナル,Arcade,8,"[""2018_2402512__event_001"",""2018_2402516__event_003"",""2018_2402520__event_001"",""2018_2402528__event_001"",""2018_2402531__event_001"",""2018_2402534__event_001"",""2018_2402537__event_001"",""2018_2402538__event_001""]",7,"[""2018_2402512__event_002"",""2018_2402520__event_002"",""2018_2402528__event_002"",""2018_2402531__event_002"",""2018_2402534__event_002"",""2018_2402537__event_002"",""2018_2402538__event_002""]",1,"[""2018_2402537__event_002""]",2018_2402537__event_002,unique_candidate,False
tokyo_152722_relational_after,152722,core,relational_after,京王八王子ショッピングセンター,Train Station,1,"[""2018_2446506__event_001""]",1,"[""2018_2446506__event_002""]",1,"[""2018_2446506__event_002""]",2018_2446506__event_002,unique_candidate,False
tokyo_156873_relational_after,156873,core,relational_after,軽自動車検査協会 八王子支所,Racetrack,1,"[""2018_2498120__event_001""]",1,"[""2018_2498120__event_002""]",1,"[""2018_2498120__event_002""]",2018_2498120__event_002,unique_candidate,True
tokyo_167728_relational_after,167728,core,relational_after,からやま,Fishing Store,1,"[""2018_2604406__event_001""]",1,"[""2018_2604406__event_002""]",1,"[""2018_2604406__event_002""]",2018_2604406__event_002,unique_candidate,True
tokyo_169053_relational_after,169053,core,relational_after,鳥居原ふれあいの館,Motorcycle Shop,9,"[""2018_2620250__event_001"",""2018_2620268__event_002"",""2018_2620269__event_002"",""2018_2620285__event_002"",""2018_2620287__event_001"",""2018_2620294__event_001"",""2018_2620302__event_001"",""2018_2620313__event_001"",""2018_2620313__event_002""]",6,"[""2018_2620250__event_002"",""2018_2620285__event_003"",""2018_2620287__event_002"",""2018_2620294__event_002"",""2018_2620302__event_002"",""2018_2620313__event_002""]",1,"[""2018_2620302__event_002""]",2018_2620302__event_002,unique_candidate,False
tokyo_171659_relational_after,171659,core,relational_after,めじろ台駅 (KO50),Chinese Restaurant,1,"[""2018_2647177__event_003""]",1,"[""2018_2647177__event_004""]",1,"[""2018_2647177__event_004""]",2018_2647177__event_004,unique_candidate,False
tokyo_178798_relational_after,178798,core,relational_after,クレッソン,Train Station,1,"[""2018_2707923__event_001""]",1,"[""2018_2707923__event_002""]",1,"[""2018_2707923__event_002""]",2018_2707923__event_002,unique_candidate,False
tokyo_19379_relational_after,19379,core,relational_after,BOOKOFF 橋本駅南口店,Mountain,2,"[""2018_395480__event_001"",""2018_395513__event_002""]",1,"[""2018_395480__event_002""]",1,"[""2018_395480__event_002""]",2018_395480__event_002,unique_candidate,True
tokyo_210254_relational_after,210254,core,relational_after,伝説のすた丼屋,Convenience Store,1,"[""2018_2949678__event_001""]",1,"[""2018_2949678__event_002""]",1,"[""2018_2949678__event_002""]",2018_2949678__event_002,unique_candidate,False
tokyo_223807_relational_after,223807,core,relational_after,TAIRAYA 東浅川店,Thrift / Vintage Store,1,"[""2018_3045880__event_001""]",1,"[""2018_3045880__event_002""]",1,"[""2018_3045880__event_002""]",2018_3045880__event_002,unique_candidate,False
tokyo_2309_relational_after,2309,core,relational_after,ファミリーマート 昭島田中町店,Car Wash,2,"[""2018_50035__event_004"",""2018_50057__event_001""]",1,"[""2018_50057__event_002""]",1,"[""2018_50057__event_002""]",2018_50057__event_002,unique_candidate,False
tokyo_23925_relational_after,23925,core,relational_after,餃子の王将,Bar,1,"[""2018_485898__event_001""]",1,"[""2018_485898__event_002""]",1,"[""2018_485898__event_002""]",2018_485898__event_002,unique_candidate,False
tokyo_24620_relational_after,24620,core,relational_after,セブンイレブン 相模原城山川尻東店,Bakery,22,"[""2018_500304__event_001"",""2018_500305__event_001"",""2018_500313__event_001"",""2018_500318__event_001"",""2018_500321__event_001"",""2018_500322__event_001"",""2018_500327__event_001"",""2018_500329__event_001"",""2018_500330__event_001"",""2018_500331__event_001"",""2018_500337__event_001"",""2018_500340__event_001"",""2018_500343__event_001"",""2018_500354__event_001"",""2018_500357__event_001"",""2018_500359__event_001"",""2018_500360__event_001"",""2018_500366__event_001"",""2018_500367__event_001"",""2018_500374__event_001"",""2018_500376__event_001"",""2018_500377__event_001""]",22,"[""2018_500304__event_002"",""2018_500305__event_002"",""2018_500313__event_002"",""2018_500318__event_002"",""2018_500321__event_002"",""2018_500322__event_002"",""2018_500327__event_002"",""2018_500329__event_002"",""2018_500330__event_002"",""2018_500331__event_002"",""2018_500337__event_002"",""2018_500340__event_002"",""2018_500343__event_002"",""2018_500354__event_002"",""2018_500357__event_002"",""2018_500359__event_002"",""2018_500360__event_002"",""2018_500366__event_002"",""2018_500367__event_002"",""2018_500374__event_002"",""2018_500376__event_002"",""2018_500377__event_002""]",1,"[""2018_500321__event_002""]",2018_500321__event_002,unique_candidate,True
tokyo_24664_relational_after,24664,core,relational_after,金剛院,Spiritual Center,1,"[""2018_501939__event_006""]",1,"[""2018_501939__event_007""]",1,"[""2018_501939__event_007""]",2018_501939__event_007,unique_candidate,True
tokyo_24765_relational_after,24765,core,relational_after,八王子実践中学校・高等学校,Convenience Store,1,"[""2018_504026__event_002""]",1,"[""2018_504026__event_003""]",1,"[""2018_504026__event_003""]",2018_504026__event_003,unique_candidate,True
tokyo_254908_relational_after,254908,core,relational_after,イオンモール日の出,Rest Area,4,"[""2018_3245104__event_002"",""2018_3245113__event_001"",""2018_3245115__event_003"",""2018_3245120__event_001""]",4,"[""2018_3245104__event_003"",""2018_3245113__event_002"",""2018_3245115__event_004"",""2018_3245120__event_002""]",1,"[""2018_3245104__event_003""]",2018_3245104__event_003,unique_candidate,False
tokyo_259163_relational_after,259163,core,relational_after,株式会社エコリターン,Restaurant,8,"[""2018_3271945__event_003"",""2018_3271951__event_002"",""2018_3271955__event_001"",""2018_3271960__event_002"",""2018_3271967__event_002"",""2018_3271976__event_001"",""2018_3271980__event_001"",""2018_3271983__event_004""]",3,"[""2018_3271955__event_002"",""2018_3271976__event_002"",""2018_3271980__event_002""]",1,"[""2018_3271980__event_002""]",2018_3271980__event_002,unique_candidate,False
tokyo_263152_relational_after,263152,core,relational_after,ムラウチホビー 八王子店,Restaurant,1,"[""2018_3295464__event_001""]",1,"[""2018_3295464__event_002""]",1,"[""2018_3295464__event_002""]",2018_3295464__event_002,unique_candidate,False
tokyo_264627_relational_after,264627,core,relational_after,ドン・キホーテ,Ramen Restaurant,3,"[""2018_3303906__event_002"",""2018_3303923__event_001"",""2018_3303957__event_001""]",3,"[""2018_3303906__event_003"",""2018_3303923__event_002"",""2018_3303957__event_002""]",1,"[""2018_3303923__event_002""]",2018_3303923__event_002,unique_candidate,True
tokyo_267704_relational_after,267704,core,relational_after,ケーヨーデイツー 楢原店,Shopping Plaza,1,"[""2018_3322363__event_001""]",1,"[""2018_3322363__event_002""]",1,"[""2018_3322363__event_002""]",2018_3322363__event_002,unique_candidate,False
tokyo_26786_relational_after,26786,core,relational_after,東京医科大学 八王子医療センター,Government Building,15,"[""2018_543168__event_002"",""2018_543175__event_003"",""2018_543184__event_001"",""2018_543185__event_003"",""2018_543186__event_001"",""2018_543188__event_001"",""2018_543191__event_002"",""2018_543208__event_002"",""2018_543222__event_002"",""2018_543238__event_001"",""2018_543240__event_001"",""2018_543241__event_004"",""2018_543243__event_001"",""2018_543245__event_001"",""2018_543246__event_001""]",14,"[""2018_543168__event_003"",""2018_543175__event_004"",""2018_543184__event_002"",""2018_543185__event_004"",""2018_543186__event_002"",""2018_543188__event_002"",""2018_543191__event_003"",""2018_543208__event_003"",""2018_543222__event_003"",""2018_543238__event_002"",""2018_543240__event_002"",""2018_543243__event_002"",""2018_543245__event_002"",""2018_543246__event_002""]",1,"[""2018_543238__event_002""]",2018_543238__event_002,unique_candidate,True
tokyo_277915_relational_after,277915,core,relational_after,牛繁,Arcade,1,"[""2018_3383909__event_001""]",1,"[""2018_3383909__event_002""]",1,"[""2018_3383909__event_002""]",2018_3383909__event_002,unique_candidate,False
tokyo_280210_relational_after,280210,core,relational_after,びっくりドンキー,Automotive Shop,1,"[""2018_3396831__event_001""]",1,"[""2018_3396831__event_002""]",1,"[""2018_3396831__event_002""]",2018_3396831__event_002,unique_candidate,True
