trail_id,user_id,venue_id,latitude,longitude,name,address,venue_category,venue_category_id,venue_category_id_code,venue_city,venue_city_latitude,venue_city_longitude,venue_country,timestamp,event_position,event_id,previous_event_id,previous_place,next_event_id,next_place,trail_checkin_count,clean_trail_count,is_high_memory_load,is_target_eligible
2018_1765784,100159,4495,35.77843825131325,139.30093406382477,らーめん 虎テツ,小作台1-5-12,Noodle House,4bf58dd8d48988d1d1941735,157,Fussa,35.73667,139.32361,JP,2017-10-17 02:18:00,1,2018_1765784__event_001,,,2018_1765784__event_002,南京亭,2,22,True,True
2018_1765784,100159,473,35.68620177689125,139.34029950168588,南京亭,梅坪町134-1,Chinese Restaurant,4bf58dd8d48988d145941735,76,Hachiōji,35.65583,139.32389,JP,2017-10-17 08:48:00,2,2018_1765784__event_002,2018_1765784__event_001,らーめん 虎テツ,,,2,22,True,True
2018_1765785,100159,3897,35.65310253585308,139.33320857584476,ほっこり中華そば もつけ,万町34-1,Ramen Restaurant,55a59bace4b013909087cb24,335,Hachiōji,35.65583,139.32389,JP,2017-10-19 02:45:00,1,2018_1765785__event_001,,,2018_1765785__event_002,麺や 睡蓮,2,22,True,True
2018_1765785,100159,4103,35.66517243840993,139.31611283010656,麺や 睡蓮,元本郷町3-17-1,Ramen Restaurant,55a59bace4b013909087cb24,335,Hachiōji,35.65583,139.32389,JP,2017-10-19 08:55:00,2,2018_1765785__event_002,2018_1765785__event_001,ほっこり中華そば もつけ,,,2,22,True,True
2018_1765788,100159,4092,35.72007256929179,139.3237766129535,五ノ神精肉店,小川東3-9-13,Ramen Restaurant,55a59bace4b013909087cb24,335,Fussa,35.73667,139.32361,JP,2017-11-09 02:48:00,1,2018_1765788__event_001,,,2018_1765788__event_002,カッパ64,2,22,True,True
2018_1765788,100159,2632,35.732916624891494,139.32561398406207,カッパ64,北田園1-6-9,Ramen Restaurant,55a59bace4b013909087cb24,335,Fussa,35.73667,139.32361,JP,2017-11-09 09:09:00,2,2018_1765788__event_002,2018_1765788__event_001,五ノ神精肉店,,,2,22,True,True
2018_1765792,100159,720,35.76120549958,139.3194736333642,勝来軒,五ノ神2-1-11,Noodle House,4bf58dd8d48988d1d1941735,157,Fussa,35.73667,139.32361,JP,2017-11-25 03:22:00,1,2018_1765792__event_001,,,2018_1765792__event_002,福島屋 本店,2,22,True,True
2018_1765792,100159,236,35.7617364345726,139.31942873301492,福島屋 本店,五ノ神3-15-1,Supermarket,52f2ab2ebcbc57f1066b8b46,309,Fussa,35.73667,139.32361,JP,2017-11-25 03:42:00,2,2018_1765792__event_002,2018_1765792__event_001,勝来軒,,,2,22,True,True
2018_1765796,100159,4092,35.72007256929179,139.3237766129535,五ノ神精肉店,小川東3-9-13,Ramen Restaurant,55a59bace4b013909087cb24,335,Fussa,35.73667,139.32361,JP,2018-01-11 02:08:00,1,2018_1765796__event_001,,,2018_1765796__event_002,CoCo壱番屋,2,22,True,True
2018_1765796,100159,1253,35.722157,139.30678,CoCo壱番屋,野辺973-1,Japanese Curry Restaurant,55a59bace4b013909087cb30,339,Fussa,35.73667,139.32361,JP,2018-01-11 08:34:00,2,2018_1765796__event_002,2018_1765796__event_001,五ノ神精肉店,,,2,22,True,True
