user_id,clean_trail_count,clean_checkin_count,in_main_cohort,in_high_memory_load_cohort
100159,22,44,True,True
100312,34,70,True,True
100677,10,20,True,False
101467,18,42,True,False
102725,9,21,False,False
103621,13,26,True,False
106628,39,88,True,True
109617,30,69,True,True
109621,27,92,True,True
111589,8,16,False,False
113499,17,37,True,False
113897,18,39,True,False
115855,10,22,True,False
1172,30,73,True,True
119597,15,37,True,False
121554,13,31,True,False
126183,28,71,True,True
126688,7,16,False,False
127201,16,38,True,False
129047,10,21,True,False
130084,34,79,True,True
130568,10,34,True,False
130777,14,34,True,False
130872,14,34,True,False
131525,16,36,True,False
132723,22,48,True,True
133042,1,4,False,False
134307,13,28,True,False
135393,19,46,True,False
138301,16,39,True,False
139656,27,55,True,True
140734,11,24,True,False
140775,10,23,True,False
141519,9,22,False,False
147348,9,21,False,False
147806,9,20,False,False
149225,15,33,True,False
152722,13,33,True,False
153366,9,22,False,False
154835,9,18,False,False
156420,7,14,False,False
156873,47,116,True,True
159689,9,18,False,False
167728,22,59,True,True
169053,11,25,True,False
171659,11,26,True,False
178798,12,26,True,False
184623,9,22,False,False
19379,38,80,True,True
194893,9,23,False,False
20186,7,21,False,False
20900,9,23,False,False
210254,13,29,True,False
223807,11,26,True,False
2309,14,34,True,False
233032,9,20,False,False
23925,19,43,True,False
24620,23,70,True,True
24664,26,69,True,True
24765,22,51,True,True
254908,12,33,True,False
259163,11,28,True,False
263152,12,27,True,False
264627,25,59,True,True
267704,10,48,True,False
26786,66,256,True,True
277915,17,40,True,False
280210,21,63,True,True
281448,14,35,True,False
283450,29,74,True,True
286142,10,21,True,False
286382,11,23,True,False
28664,20,56,True,True
28697,15,37,True,False
290806,14,36,True,False
29501,16,36,True,False
29757,19,41,True,False
29764,11,28,True,False
31204,13,27,True,False
312594,9,24,False,False
32545,43,106,True,True
325605,33,82,True,True
328941,11,23,True,False
33902,9,49,False,False
339444,12,31,True,False
342180,20,49,True,True
34258,12,42,True,False
34642,8,22,False,False
347501,10,20,True,False
348059,19,63,True,False
348682,10,22,True,False
350248,22,54,True,True
356419,14,33,True,False
35718,11,26,True,False
362630,11,24,True,False
36487,18,54,True,False
365381,11,24,True,False
365869,9,21,False,False
371999,5,18,False,False
41088,33,77,True,True
41902,2,5,False,False
42282,11,24,True,False
44616,10,39,True,False
45189,10,25,True,False
45205,54,140,True,True
50046,25,55,True,True
51031,21,49,True,True
51516,13,33,True,False
52894,19,43,True,False
53205,16,40,True,False
53405,10,26,True,False
55985,13,30,True,False
59554,11,23,True,False
60393,51,170,True,True
70564,41,106,True,True
70703,18,47,True,False
72210,14,35,True,False
72444,12,29,True,False
74188,13,39,True,False
74982,10,24,True,False
76264,8,19,False,False
78286,32,76,True,True
79139,12,32,True,False
79719,23,57,True,True
80051,15,34,True,False
80415,11,25,True,False
80480,16,38,True,False
86988,20,47,True,True
87391,10,20,True,False
88625,13,32,True,False
88793,22,50,True,True
97607,9,20,False,False
