query_id,user_id,benchmark_tier,query_type,query_language,query_text,target_event_id,target_venue_id,target_name,target_trail_id,target_timestamp,target_category,target_city,cue_year,cue_month,cue_city,cue_category,cue_previous_event_id,cue_previous_place,cue_next_event_id,cue_next_place,is_high_memory_load
tokyo_100159_semantic,100159,core,semantic,dataset_native_mixed,Which Sushi Restaurant did I visit in Fussa?,2018_1765805__event_002,729,スシロー,2018_1765805,2018-04-03 09:26:00,Sushi Restaurant,Fussa,,,Fussa,Sushi Restaurant,,,,,True
tokyo_100159_temporal_spatial,100159,core,temporal_spatial,dataset_native_mixed,Which Supermarket did I visit in Fussa in November 2017?,2018_1765792__event_002,236,福島屋 本店,2018_1765792,2017-11-25 03:42:00,Supermarket,Fussa,2017,11,Fussa,Supermarket,,,,,True
tokyo_100159_relational_after,100159,core,relational_after,dataset_native_mixed,Which Ramen Restaurant did I visit after 松屋?,2018_1765800__event_002,4092,五ノ神精肉店,2018_1765800,2018-02-21 09:04:00,Ramen Restaurant,Fussa,,,,Ramen Restaurant,2018_1765800__event_001,松屋,,,True
tokyo_100312_semantic,100312,core,semantic,dataset_native_mixed,Which Café did I visit in Fussa?,2018_1767925__event_002,1836,サンマルクカフェ,2018_1767925,2018-05-05 02:15:00,Café,Fussa,,,Fussa,Café,,,,,True
tokyo_100312_temporal_spatial,100312,core,temporal_spatial,dataset_native_mixed,Which Buffet did I visit in Fussa in September 2018?,2018_1767957__event_002,1376,グランブッフェ,2018_1767957,2018-09-02 02:39:00,Buffet,Fussa,2018,09,Fussa,Buffet,,,,,True
tokyo_100312_relational_after,100312,core,relational_after,dataset_native_mixed,Which Clothing Store did I visit after イオンモールむさし村山?,2018_1767876__event_002,906,ユニクロ,2018_1767876,2017-11-25 04:18:00,Clothing Store,Fussa,,,,Clothing Store,2018_1767876__event_001,イオンモールむさし村山,,,True
tokyo_106628_semantic,106628,core,semantic,dataset_native_mixed,Which Building did I visit in Hachiōji?,2018_1860388__event_002,2359,八王子労政会館,2018_1860388,2018-02-13 23:39:00,Building,Hachiōji,,,Hachiōji,Building,,,,,True
tokyo_106628_temporal_spatial,106628,core,temporal_spatial,dataset_native_mixed,Which Train Station did I visit in Fussa in August 2018?,2018_1860444__event_001,257,東秋留駅 (Higashi-Akiru Sta.),2018_1860444,2018-08-18 09:23:00,Train Station,Fussa,2018,08,Fussa,Train Station,,,,,True
tokyo_106628_relational_after,106628,core,relational_after,dataset_native_mixed,Which Recycling Facility did I visit after ファミリーマート 八王子高尾町店?,2018_1860406__event_003,3876,株式会社エコリターン,2018_1860406,2018-04-11 13:39:00,Recycling Facility,Hachiōji,,,,Recycling Facility,2018_1860406__event_002,ファミリーマート 八王子高尾町店,,,True
tokyo_109617_semantic,109617,core,semantic,dataset_native_mixed,Which Used Bookstore did I visit in Hachiōji?,2018_1909178__event_001,433,BOOKOFF 橋本津久井街道店,2018_1909178,2018-05-28 10:19:00,Used Bookstore,Hachiōji,,,Hachiōji,Used Bookstore,,,,,True
tokyo_109617_temporal_spatial,109617,core,temporal_spatial,dataset_native_mixed,Which Furniture / Home Store did I visit in Hachiōji in February 2018?,2018_1909138__event_002,558,カインズ 城山店,2018_1909138,2018-02-03 04:28:00,Furniture / Home Store,Hachiōji,2018,02,Hachiōji,Furniture / Home Store,,,,,True
tokyo_109617_relational_after,109617,core,relational_after,dataset_native_mixed,Which Supermarket did I visit after ガレージオフ 相模原店?,2018_1909144__event_002,2857,イトーヨーカドー,2018_1909144,2018-02-25 09:53:00,Supermarket,Hachiōji,,,,Supermarket,2018_1909144__event_001,ガレージオフ 相模原店,,,True
tokyo_109621_semantic,109621,core,semantic,dataset_native_mixed,Which Used Bookstore did I visit in Hachiōji?,2018_1909374__event_005,1883,BOOKOFF 八王子大和田店,2018_1909374,2017-12-09 07:32:00,Used Bookstore,Hachiōji,,,Hachiōji,Used Bookstore,,,,,True
tokyo_109621_temporal_spatial,109621,core,temporal_spatial,dataset_native_mixed,Which Snack Place did I visit in Hachiōji in February 2018?,2018_1909385__event_002,4275,お食事処,2018_1909385,2018-02-04 11:44:00,Snack Place,Hachiōji,2018,02,Hachiōji,Snack Place,,,,,True
tokyo_109621_relational_after,109621,core,relational_after,dataset_native_mixed,Which Convenience Store did I visit after ファミリーマート 八王子楢原町店?,2018_1909384__event_002,1514,サンクス 八王子七国五丁目店,2018_1909384,2018-02-03 10:47:00,Convenience Store,Hachiōji,,,,Convenience Store,2018_1909384__event_001,ファミリーマート 八王子楢原町店,,,True
tokyo_1172_semantic,1172,core,semantic,dataset_native_mixed,Which Steakhouse did I visit in Hachiōji?,2018_23905__event_001,409,ブロンコビリー,2018_23905,2018-03-17 11:55:00,Steakhouse,Hachiōji,,,Hachiōji,Steakhouse,,,,,True
tokyo_1172_temporal_spatial,1172,core,temporal_spatial,dataset_native_mixed,Which Bakery did I visit in Hachiōji in May 2018?,2018_23928__event_002,1254,オギノパン 本社工場直売店,2018_23928,2018-05-06 09:15:00,Bakery,Hachiōji,2018,05,Hachiōji,Bakery,,,,,True
tokyo_1172_relational_after,1172,core,relational_after,dataset_native_mixed,Which Train Station did I visit after カラオケファンタジー 橋本北口店?,2018_23942__event_003,11,橋本駅 (Hashimoto Sta.),2018_23942,2018-06-23 19:27:00,Train Station,Hachiōji,,,,Train Station,2018_23942__event_002,カラオケファンタジー 橋本北口店,,,True
