event_id,user_id,trail_id,venue_id,timestamp,name,venue_category,venue_city,address,previous_event_id,previous_place,next_event_id,next_place,is_high_memory_load,event_text
2018_1765784__event_001,100159,2018_1765784,4495,2017-10-17 02:18:00,らーめん 虎テツ,Noodle House,Fussa,小作台1-5-12,,,2018_1765784__event_002,南京亭,True,"On October 17, 2017 at 02:18, the user visited らーめん 虎テツ, a Noodle House in Fussa. Address: 小作台1-5-12. Next place: 南京亭."
2018_1765784__event_002,100159,2018_1765784,473,2017-10-17 08:48:00,南京亭,Chinese Restaurant,Hachiōji,梅坪町134-1,2018_1765784__event_001,らーめん 虎テツ,,,True,"On October 17, 2017 at 08:48, the user visited 南京亭, a Chinese Restaurant in Hachiōji. Address: 梅坪町134-1. Previous place: らーめん 虎テツ."
2018_1765785__event_001,100159,2018_1765785,3897,2017-10-19 02:45:00,ほっこり中華そば もつけ,Ramen Restaurant,Hachiōji,万町34-1,,,2018_1765785__event_002,麺や 睡蓮,True,"On October 19, 2017 at 02:45, the user visited ほっこり中華そば もつけ, a Ramen Restaurant in Hachiōji. Address: 万町34-1. Next place: 麺や 睡蓮."
2018_1765785__event_002,100159,2018_1765785,4103,2017-10-19 08:55:00,麺や 睡蓮,Ramen Restaurant,Hachiōji,元本郷町3-17-1,2018_1765785__event_001,ほっこり中華そば もつけ,,,True,"On October 19, 2017 at 08:55, the user visited 麺や 睡蓮, a Ramen Restaurant in Hachiōji. Address: 元本郷町3-17-1. Previous place: ほっこり中華そば もつけ."
2018_1765788__event_001,100159,2018_1765788,4092,2017-11-09 02:48:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,,,2018_1765788__event_002,カッパ64,True,"On November 9, 2017 at 02:48, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13. Next place: カッパ64."
2018_1765788__event_002,100159,2018_1765788,2632,2017-11-09 09:09:00,カッパ64,Ramen Restaurant,Fussa,北田園1-6-9,2018_1765788__event_001,五ノ神精肉店,,,True,"On November 9, 2017 at 09:09, the user visited カッパ64, a Ramen Restaurant in Fussa. Address: 北田園1-6-9. Previous place: 五ノ神精肉店."
2018_1765792__event_001,100159,2018_1765792,720,2017-11-25 03:22:00,勝来軒,Noodle House,Fussa,五ノ神2-1-11,,,2018_1765792__event_002,福島屋 本店,True,"On November 25, 2017 at 03:22, the user visited 勝来軒, a Noodle House in Fussa. Address: 五ノ神2-1-11. Next place: 福島屋 本店."
2018_1765792__event_002,100159,2018_1765792,236,2017-11-25 03:42:00,福島屋 本店,Supermarket,Fussa,五ノ神3-15-1,2018_1765792__event_001,勝来軒,,,True,"On November 25, 2017 at 03:42, the user visited 福島屋 本店, a Supermarket in Fussa. Address: 五ノ神3-15-1. Previous place: 勝来軒."
2018_1765796__event_001,100159,2018_1765796,4092,2018-01-11 02:08:00,五ノ神精肉店,Ramen Restaurant,Fussa,小川東3-9-13,,,2018_1765796__event_002,CoCo壱番屋,True,"On January 11, 2018 at 02:08, the user visited 五ノ神精肉店, a Ramen Restaurant in Fussa. Address: 小川東3-9-13. Next place: CoCo壱番屋."
2018_1765796__event_002,100159,2018_1765796,1253,2018-01-11 08:34:00,CoCo壱番屋,Japanese Curry Restaurant,Fussa,野辺973-1,2018_1765796__event_001,五ノ神精肉店,,,True,"On January 11, 2018 at 08:34, the user visited CoCo壱番屋, a Japanese Curry Restaurant in Fussa. Address: 野辺973-1. Previous place: 五ノ神精肉店."
2018_1765797__event_001,100159,2018_1765797,4103,2018-01-12 02:06:00,麺や 睡蓮,Ramen Restaurant,Hachiōji,元本郷町3-17-1,,,2018_1765797__event_002,らーめん 鴨福,True,"On January 12, 2018 at 02:06, the user visited 麺や 睡蓮, a Ramen Restaurant in Hachiōji. Address: 元本郷町3-17-1. Next place: らーめん 鴨福."
2018_1765797__event_002,100159,2018_1765797,4571,2018-01-12 08:40:00,らーめん 鴨福,Ramen Restaurant,Hachiōji,新町1-17,2018_1765797__event_001,麺や 睡蓮,,,True,"On January 12, 2018 at 08:40, the user visited らーめん 鴨福, a Ramen Restaurant in Hachiōji. Address: 新町1-17. Previous place: 麺や 睡蓮."
2018_1765798__event_001,100159,2018_1765798,3074,2018-01-16 02:19:00,麺処 いし川,Ramen Restaurant,Fussa,二宮337-1,,,2018_1765798__event_002,カッパ64,True,"On January 16, 2018 at 02:19, the user visited 麺処 いし川, a Ramen Restaurant in Fussa. Address: 二宮337-1. Next place: カッパ64."
