query_id,user_id,benchmark_tier,query_type,seed_rank,seed_event_id,relation,expanded_event_id,is_first_discovery,expansion_rank,is_high_memory_load
tokyo_100312_relational_between,100312,stress_test,relational_between,1,2018_1767907__event_002,SELF,2018_1767907__event_002,True,1,True
tokyo_100312_relational_between,100312,stress_test,relational_between,1,2018_1767907__event_002,PREVIOUS,2018_1767907__event_001,True,2,True
tokyo_100312_relational_between,100312,stress_test,relational_between,1,2018_1767907__event_002,NEXT,2018_1767907__event_003,True,3,True
tokyo_100312_relational_between,100312,stress_test,relational_between,2,2018_1767947__event_002,SELF,2018_1767947__event_002,True,4,True
tokyo_100312_relational_between,100312,stress_test,relational_between,2,2018_1767947__event_002,PREVIOUS,2018_1767947__event_001,True,5,True
tokyo_100312_relational_between,100312,stress_test,relational_between,3,2018_1767893__event_002,SELF,2018_1767893__event_002,True,6,True
tokyo_100312_relational_between,100312,stress_test,relational_between,3,2018_1767893__event_002,PREVIOUS,2018_1767893__event_001,True,7,True
tokyo_100312_relational_between,100312,stress_test,relational_between,4,2018_1767963__event_002,SELF,2018_1767963__event_002,True,8,True
tokyo_100312_relational_between,100312,stress_test,relational_between,4,2018_1767963__event_002,PREVIOUS,2018_1767963__event_001,True,9,True
tokyo_100312_relational_between,100312,stress_test,relational_between,5,2018_1767945__event_002,SELF,2018_1767945__event_002,True,10,True
tokyo_100312_relational_between,100312,stress_test,relational_between,5,2018_1767945__event_002,PREVIOUS,2018_1767945__event_001,True,11,True
tokyo_101467_relational_between,101467,stress_test,relational_between,1,2018_1784994__event_003,SELF,2018_1784994__event_003,True,1,False
tokyo_101467_relational_between,101467,stress_test,relational_between,1,2018_1784994__event_003,PREVIOUS,2018_1784994__event_002,True,2,False
tokyo_101467_relational_between,101467,stress_test,relational_between,1,2018_1784994__event_003,NEXT,2018_1784994__event_004,True,3,False
tokyo_101467_relational_between,101467,stress_test,relational_between,2,2018_1784993__event_001,SELF,2018_1784993__event_001,True,4,False
tokyo_101467_relational_between,101467,stress_test,relational_between,2,2018_1784993__event_001,NEXT,2018_1784993__event_002,True,5,False
tokyo_101467_relational_between,101467,stress_test,relational_between,3,2018_1785003__event_002,SELF,2018_1785003__event_002,True,6,False
tokyo_101467_relational_between,101467,stress_test,relational_between,3,2018_1785003__event_002,PREVIOUS,2018_1785003__event_001,True,7,False
tokyo_101467_relational_between,101467,stress_test,relational_between,3,2018_1785003__event_002,NEXT,2018_1785003__event_003,True,8,False
tokyo_101467_relational_between,101467,stress_test,relational_between,4,2018_1785009__event_001,SELF,2018_1785009__event_001,True,9,False
tokyo_101467_relational_between,101467,stress_test,relational_between,4,2018_1785009__event_001,NEXT,2018_1785009__event_002,True,10,False
tokyo_101467_relational_between,101467,stress_test,relational_between,5,2018_1785004__event_001,SELF,2018_1785004__event_001,True,11,False
tokyo_101467_relational_between,101467,stress_test,relational_between,5,2018_1785004__event_001,NEXT,2018_1785004__event_002,True,12,False
tokyo_106628_relational_between,106628,stress_test,relational_between,1,2018_1860411__event_003,SELF,2018_1860411__event_003,True,1,True
tokyo_106628_relational_between,106628,stress_test,relational_between,1,2018_1860411__event_003,PREVIOUS,2018_1860411__event_002,True,2,True
tokyo_106628_relational_between,106628,stress_test,relational_between,1,2018_1860411__event_003,NEXT,2018_1860411__event_004,True,3,True
tokyo_106628_relational_between,106628,stress_test,relational_between,2,2018_1860395__event_001,SELF,2018_1860395__event_001,True,4,True
tokyo_106628_relational_between,106628,stress_test,relational_between,2,2018_1860395__event_001,NEXT,2018_1860395__event_002,True,5,True
tokyo_106628_relational_between,106628,stress_test,relational_between,3,2018_1860407__event_002,SELF,2018_1860407__event_002,True,6,True
tokyo_106628_relational_between,106628,stress_test,relational_between,3,2018_1860407__event_002,PREVIOUS,2018_1860407__event_001,True,7,True
tokyo_106628_relational_between,106628,stress_test,relational_between,4,2018_1860375__event_001,SELF,2018_1860375__event_001,True,8,True
tokyo_106628_relational_between,106628,stress_test,relational_between,4,2018_1860375__event_001,NEXT,2018_1860375__event_002,True,9,True
tokyo_106628_relational_between,106628,stress_test,relational_between,5,2018_1860403__event_001,SELF,2018_1860403__event_001,True,10,True
tokyo_106628_relational_between,106628,stress_test,relational_between,5,2018_1860403__event_001,NEXT,2018_1860403__event_002,True,11,True
tokyo_109617_relational_between,109617,stress_test,relational_between,1,2018_1909174__event_002,SELF,2018_1909174__event_002,True,1,True
tokyo_109617_relational_between,109617,stress_test,relational_between,1,2018_1909174__event_002,PREVIOUS,2018_1909174__event_001,True,2,True
tokyo_109617_relational_between,109617,stress_test,relational_between,1,2018_1909174__event_002,NEXT,2018_1909174__event_003,True,3,True
tokyo_109617_relational_between,109617,stress_test,relational_between,2,2018_1909177__event_002,SELF,2018_1909177__event_002,True,4,True
tokyo_109617_relational_between,109617,stress_test,relational_between,2,2018_1909177__event_002,PREVIOUS,2018_1909177__event_001,True,5,True
tokyo_109617_relational_between,109617,stress_test,relational_between,2,2018_1909177__event_002,NEXT,2018_1909177__event_003,True,6,True
tokyo_109617_relational_between,109617,stress_test,relational_between,3,2018_1909135__event_002,SELF,2018_1909135__event_002,True,7,True
tokyo_109617_relational_between,109617,stress_test,relational_between,3,2018_1909135__event_002,PREVIOUS,2018_1909135__event_001,True,8,True
tokyo_109617_relational_between,109617,stress_test,relational_between,4,2018_1909137__event_002,SELF,2018_1909137__event_002,True,9,True
tokyo_109617_relational_between,109617,stress_test,relational_between,4,2018_1909137__event_002,PREVIOUS,2018_1909137__event_001,True,10,True
tokyo_109617_relational_between,109617,stress_test,relational_between,5,2018_1909174__event_001,SELF,2018_1909174__event_001,False,,True
tokyo_109617_relational_between,109617,stress_test,relational_between,5,2018_1909174__event_001,NEXT,2018_1909174__event_002,False,,True
tokyo_109621_relational_between,109621,stress_test,relational_between,1,2018_1909372__event_002,SELF,2018_1909372__event_002,True,1,True
tokyo_109621_relational_between,109621,stress_test,relational_between,1,2018_1909372__event_002,PREVIOUS,2018_1909372__event_001,True,2,True
tokyo_109621_relational_between,109621,stress_test,relational_between,1,2018_1909372__event_002,NEXT,2018_1909372__event_003,True,3,True
tokyo_109621_relational_between,109621,stress_test,relational_between,2,2018_1909395__event_002,SELF,2018_1909395__event_002,True,4,True
tokyo_109621_relational_between,109621,stress_test,relational_between,2,2018_1909395__event_002,PREVIOUS,2018_1909395__event_001,True,5,True
tokyo_109621_relational_between,109621,stress_test,relational_between,2,2018_1909395__event_002,NEXT,2018_1909395__event_003,True,6,True
tokyo_109621_relational_between,109621,stress_test,relational_between,3,2018_1909397__event_002,SELF,2018_1909397__event_002,True,7,True
tokyo_109621_relational_between,109621,stress_test,relational_between,3,2018_1909397__event_002,PREVIOUS,2018_1909397__event_001,True,8,True
tokyo_109621_relational_between,109621,stress_test,relational_between,4,2018_1909379__event_002,SELF,2018_1909379__event_002,True,9,True
tokyo_109621_relational_between,109621,stress_test,relational_between,4,2018_1909379__event_002,PREVIOUS,2018_1909379__event_001,True,10,True
tokyo_109621_relational_between,109621,stress_test,relational_between,4,2018_1909379__event_002,NEXT,2018_1909379__event_003,True,11,True
tokyo_109621_relational_between,109621,stress_test,relational_between,5,2018_1909379__event_003,SELF,2018_1909379__event_003,False,,True
tokyo_109621_relational_between,109621,stress_test,relational_between,5,2018_1909379__event_003,PREVIOUS,2018_1909379__event_002,False,,True
tokyo_109621_relational_between,109621,stress_test,relational_between,5,2018_1909379__event_003,NEXT,2018_1909379__event_004,True,12,True
tokyo_113499_relational_between,113499,stress_test,relational_between,1,2018_1959234__event_002,SELF,2018_1959234__event_002,True,1,False
tokyo_113499_relational_between,113499,stress_test,relational_between,1,2018_1959234__event_002,PREVIOUS,2018_1959234__event_001,True,2,False
tokyo_113499_relational_between,113499,stress_test,relational_between,1,2018_1959234__event_002,NEXT,2018_1959234__event_003,True,3,False
tokyo_113499_relational_between,113499,stress_test,relational_between,2,2018_1959244__event_001,SELF,2018_1959244__event_001,True,4,False
tokyo_113499_relational_between,113499,stress_test,relational_between,2,2018_1959244__event_001,NEXT,2018_1959244__event_002,True,5,False
tokyo_113499_relational_between,113499,stress_test,relational_between,3,2018_1959240__event_002,SELF,2018_1959240__event_002,True,6,False
tokyo_113499_relational_between,113499,stress_test,relational_between,3,2018_1959240__event_002,PREVIOUS,2018_1959240__event_001,True,7,False
tokyo_113499_relational_between,113499,stress_test,relational_between,4,2018_1959258__event_003,SELF,2018_1959258__event_003,True,8,False
tokyo_113499_relational_between,113499,stress_test,relational_between,4,2018_1959258__event_003,PREVIOUS,2018_1959258__event_002,True,9,False
tokyo_113499_relational_between,113499,stress_test,relational_between,5,2018_1959244__event_002,SELF,2018_1959244__event_002,False,,False
tokyo_113499_relational_between,113499,stress_test,relational_between,5,2018_1959244__event_002,PREVIOUS,2018_1959244__event_001,False,,False
tokyo_113897_relational_between,113897,stress_test,relational_between,1,2018_1963913__event_002,SELF,2018_1963913__event_002,True,1,False
tokyo_113897_relational_between,113897,stress_test,relational_between,1,2018_1963913__event_002,PREVIOUS,2018_1963913__event_001,True,2,False
tokyo_113897_relational_between,113897,stress_test,relational_between,1,2018_1963913__event_002,NEXT,2018_1963913__event_003,True,3,False
tokyo_113897_relational_between,113897,stress_test,relational_between,2,2018_1963921__event_002,SELF,2018_1963921__event_002,True,4,False
tokyo_113897_relational_between,113897,stress_test,relational_between,2,2018_1963921__event_002,PREVIOUS,2018_1963921__event_001,True,5,False
tokyo_113897_relational_between,113897,stress_test,relational_between,3,2018_1963882__event_002,SELF,2018_1963882__event_002,True,6,False
tokyo_113897_relational_between,113897,stress_test,relational_between,3,2018_1963882__event_002,PREVIOUS,2018_1963882__event_001,True,7,False
tokyo_113897_relational_between,113897,stress_test,relational_between,4,2018_1963911__event_003,SELF,2018_1963911__event_003,True,8,False
tokyo_113897_relational_between,113897,stress_test,relational_between,4,2018_1963911__event_003,PREVIOUS,2018_1963911__event_002,True,9,False
tokyo_113897_relational_between,113897,stress_test,relational_between,5,2018_1963902__event_002,SELF,2018_1963902__event_002,True,10,False
tokyo_113897_relational_between,113897,stress_test,relational_between,5,2018_1963902__event_002,PREVIOUS,2018_1963902__event_001,True,11,False
tokyo_115855_relational_between,115855,stress_test,relational_between,1,2018_1984790__event_002,SELF,2018_1984790__event_002,True,1,False
tokyo_115855_relational_between,115855,stress_test,relational_between,1,2018_1984790__event_002,PREVIOUS,2018_1984790__event_001,True,2,False
tokyo_115855_relational_between,115855,stress_test,relational_between,1,2018_1984790__event_002,NEXT,2018_1984790__event_003,True,3,False
tokyo_115855_relational_between,115855,stress_test,relational_between,2,2018_1984790__event_004,SELF,2018_1984790__event_004,True,4,False
tokyo_115855_relational_between,115855,stress_test,relational_between,2,2018_1984790__event_004,PREVIOUS,2018_1984790__event_003,False,,False
tokyo_115855_relational_between,115855,stress_test,relational_between,3,2018_1984785__event_002,SELF,2018_1984785__event_002,True,5,False
tokyo_115855_relational_between,115855,stress_test,relational_between,3,2018_1984785__event_002,PREVIOUS,2018_1984785__event_001,True,6,False
tokyo_115855_relational_between,115855,stress_test,relational_between,4,2018_1984800__event_002,SELF,2018_1984800__event_002,True,7,False
tokyo_115855_relational_between,115855,stress_test,relational_between,4,2018_1984800__event_002,PREVIOUS,2018_1984800__event_001,True,8,False
tokyo_115855_relational_between,115855,stress_test,relational_between,5,2018_1984781__event_001,SELF,2018_1984781__event_001,True,9,False
tokyo_115855_relational_between,115855,stress_test,relational_between,5,2018_1984781__event_001,NEXT,2018_1984781__event_002,True,10,False
tokyo_1172_relational_between,1172,stress_test,relational_between,1,2018_23932__event_002,SELF,2018_23932__event_002,True,1,True
tokyo_1172_relational_between,1172,stress_test,relational_between,1,2018_23932__event_002,PREVIOUS,2018_23932__event_001,True,2,True
tokyo_1172_relational_between,1172,stress_test,relational_between,1,2018_23932__event_002,NEXT,2018_23932__event_003,True,3,True
tokyo_1172_relational_between,1172,stress_test,relational_between,2,2018_23965__event_001,SELF,2018_23965__event_001,True,4,True
tokyo_1172_relational_between,1172,stress_test,relational_between,2,2018_23965__event_001,NEXT,2018_23965__event_002,True,5,True
tokyo_1172_relational_between,1172,stress_test,relational_between,3,2018_23947__event_002,SELF,2018_23947__event_002,True,6,True
tokyo_1172_relational_between,1172,stress_test,relational_between,3,2018_23947__event_002,PREVIOUS,2018_23947__event_001,True,7,True
tokyo_1172_relational_between,1172,stress_test,relational_between,4,2018_23837__event_001,SELF,2018_23837__event_001,True,8,True
tokyo_1172_relational_between,1172,stress_test,relational_between,4,2018_23837__event_001,NEXT,2018_23837__event_002,True,9,True
tokyo_1172_relational_between,1172,stress_test,relational_between,5,2018_23885__event_001,SELF,2018_23885__event_001,True,10,True
tokyo_1172_relational_between,1172,stress_test,relational_between,5,2018_23885__event_001,NEXT,2018_23885__event_002,True,11,True
tokyo_119597_relational_between,119597,stress_test,relational_between,1,2018_2023484__event_003,SELF,2018_2023484__event_003,True,1,False
tokyo_119597_relational_between,119597,stress_test,relational_between,1,2018_2023484__event_003,PREVIOUS,2018_2023484__event_002,True,2,False
tokyo_119597_relational_between,119597,stress_test,relational_between,1,2018_2023484__event_003,NEXT,2018_2023484__event_004,True,3,False
tokyo_119597_relational_between,119597,stress_test,relational_between,2,2018_2023481__event_002,SELF,2018_2023481__event_002,True,4,False
tokyo_119597_relational_between,119597,stress_test,relational_between,2,2018_2023481__event_002,PREVIOUS,2018_2023481__event_001,True,5,False
tokyo_119597_relational_between,119597,stress_test,relational_between,2,2018_2023481__event_002,NEXT,2018_2023481__event_003,True,6,False
tokyo_119597_relational_between,119597,stress_test,relational_between,3,2018_2023460__event_002,SELF,2018_2023460__event_002,True,7,False
tokyo_119597_relational_between,119597,stress_test,relational_between,3,2018_2023460__event_002,PREVIOUS,2018_2023460__event_001,True,8,False
tokyo_119597_relational_between,119597,stress_test,relational_between,3,2018_2023460__event_002,NEXT,2018_2023460__event_003,True,9,False
tokyo_119597_relational_between,119597,stress_test,relational_between,4,2018_2023457__event_001,SELF,2018_2023457__event_001,True,10,False
tokyo_119597_relational_between,119597,stress_test,relational_between,4,2018_2023457__event_001,NEXT,2018_2023457__event_002,True,11,False
tokyo_119597_relational_between,119597,stress_test,relational_between,5,2018_2023500__event_002,SELF,2018_2023500__event_002,True,12,False
tokyo_119597_relational_between,119597,stress_test,relational_between,5,2018_2023500__event_002,PREVIOUS,2018_2023500__event_001,True,13,False
tokyo_121554_relational_between,121554,stress_test,relational_between,1,2018_2047606__event_004,SELF,2018_2047606__event_004,True,1,False
tokyo_121554_relational_between,121554,stress_test,relational_between,1,2018_2047606__event_004,PREVIOUS,2018_2047606__event_003,True,2,False
tokyo_121554_relational_between,121554,stress_test,relational_between,1,2018_2047606__event_004,NEXT,2018_2047606__event_005,True,3,False
tokyo_121554_relational_between,121554,stress_test,relational_between,2,2018_2047612__event_002,SELF,2018_2047612__event_002,True,4,False
tokyo_121554_relational_between,121554,stress_test,relational_between,2,2018_2047612__event_002,PREVIOUS,2018_2047612__event_001,True,5,False
tokyo_121554_relational_between,121554,stress_test,relational_between,3,2018_2047604__event_002,SELF,2018_2047604__event_002,True,6,False
tokyo_121554_relational_between,121554,stress_test,relational_between,3,2018_2047604__event_002,PREVIOUS,2018_2047604__event_001,True,7,False
tokyo_121554_relational_between,121554,stress_test,relational_between,4,2018_2047617__event_002,SELF,2018_2047617__event_002,True,8,False
tokyo_121554_relational_between,121554,stress_test,relational_between,4,2018_2047617__event_002,PREVIOUS,2018_2047617__event_001,True,9,False
tokyo_121554_relational_between,121554,stress_test,relational_between,5,2018_2047600__event_002,SELF,2018_2047600__event_002,True,10,False
tokyo_121554_relational_between,121554,stress_test,relational_between,5,2018_2047600__event_002,PREVIOUS,2018_2047600__event_001,True,11,False
tokyo_126183_relational_between,126183,stress_test,relational_between,1,2018_2118390__event_002,SELF,2018_2118390__event_002,True,1,True
tokyo_126183_relational_between,126183,stress_test,relational_between,1,2018_2118390__event_002,PREVIOUS,2018_2118390__event_001,True,2,True
tokyo_126183_relational_between,126183,stress_test,relational_between,1,2018_2118390__event_002,NEXT,2018_2118390__event_003,True,3,True
tokyo_126183_relational_between,126183,stress_test,relational_between,2,2018_2118376__event_003,SELF,2018_2118376__event_003,True,4,True
tokyo_126183_relational_between,126183,stress_test,relational_between,2,2018_2118376__event_003,PREVIOUS,2018_2118376__event_002,True,5,True
tokyo_126183_relational_between,126183,stress_test,relational_between,2,2018_2118376__event_003,NEXT,2018_2118376__event_004,True,6,True
tokyo_126183_relational_between,126183,stress_test,relational_between,3,2018_2118407__event_002,SELF,2018_2118407__event_002,True,7,True
tokyo_126183_relational_between,126183,stress_test,relational_between,3,2018_2118407__event_002,PREVIOUS,2018_2118407__event_001,True,8,True
tokyo_126183_relational_between,126183,stress_test,relational_between,3,2018_2118407__event_002,NEXT,2018_2118407__event_003,True,9,True
tokyo_126183_relational_between,126183,stress_test,relational_between,4,2018_2118382__event_003,SELF,2018_2118382__event_003,True,10,True
tokyo_126183_relational_between,126183,stress_test,relational_between,4,2018_2118382__event_003,PREVIOUS,2018_2118382__event_002,True,11,True
tokyo_126183_relational_between,126183,stress_test,relational_between,5,2018_2118357__event_002,SELF,2018_2118357__event_002,True,12,True
tokyo_126183_relational_between,126183,stress_test,relational_between,5,2018_2118357__event_002,PREVIOUS,2018_2118357__event_001,True,13,True
tokyo_127201_relational_between,127201,stress_test,relational_between,1,2018_2134912__event_002,SELF,2018_2134912__event_002,True,1,False
tokyo_127201_relational_between,127201,stress_test,relational_between,1,2018_2134912__event_002,PREVIOUS,2018_2134912__event_001,True,2,False
tokyo_127201_relational_between,127201,stress_test,relational_between,1,2018_2134912__event_002,NEXT,2018_2134912__event_003,True,3,False
tokyo_127201_relational_between,127201,stress_test,relational_between,2,2018_2134912__event_003,SELF,2018_2134912__event_003,False,,False
tokyo_127201_relational_between,127201,stress_test,relational_between,2,2018_2134912__event_003,PREVIOUS,2018_2134912__event_002,False,,False
tokyo_127201_relational_between,127201,stress_test,relational_between,3,2018_2134938__event_005,SELF,2018_2134938__event_005,True,4,False
tokyo_127201_relational_between,127201,stress_test,relational_between,3,2018_2134938__event_005,PREVIOUS,2018_2134938__event_004,True,5,False
tokyo_127201_relational_between,127201,stress_test,relational_between,3,2018_2134938__event_005,NEXT,2018_2134938__event_006,True,6,False
tokyo_127201_relational_between,127201,stress_test,relational_between,4,2018_2134938__event_006,SELF,2018_2134938__event_006,False,,False
tokyo_127201_relational_between,127201,stress_test,relational_between,4,2018_2134938__event_006,PREVIOUS,2018_2134938__event_005,False,,False
tokyo_127201_relational_between,127201,stress_test,relational_between,5,2018_2134939__event_003,SELF,2018_2134939__event_003,True,7,False
tokyo_127201_relational_between,127201,stress_test,relational_between,5,2018_2134939__event_003,PREVIOUS,2018_2134939__event_002,True,8,False
tokyo_130084_relational_between,130084,stress_test,relational_between,1,2018_2179338__event_002,SELF,2018_2179338__event_002,True,1,True
tokyo_130084_relational_between,130084,stress_test,relational_between,1,2018_2179338__event_002,PREVIOUS,2018_2179338__event_001,True,2,True
tokyo_130084_relational_between,130084,stress_test,relational_between,1,2018_2179338__event_002,NEXT,2018_2179338__event_003,True,3,True
tokyo_130084_relational_between,130084,stress_test,relational_between,2,2018_2179314__event_001,SELF,2018_2179314__event_001,True,4,True
tokyo_130084_relational_between,130084,stress_test,relational_between,2,2018_2179314__event_001,NEXT,2018_2179314__event_002,True,5,True
tokyo_130084_relational_between,130084,stress_test,relational_between,3,2018_2179306__event_003,SELF,2018_2179306__event_003,True,6,True
tokyo_130084_relational_between,130084,stress_test,relational_between,3,2018_2179306__event_003,PREVIOUS,2018_2179306__event_002,True,7,True
tokyo_130084_relational_between,130084,stress_test,relational_between,3,2018_2179306__event_003,NEXT,2018_2179306__event_004,True,8,True
